Data supplied by UK-AIR on 14/3/2024
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,London Bloomsbury,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Ozone",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit,"Sulphur dioxide",status,unit
 
01-01-2023,01:00,10.225,R,ugm-3 (FIDAS),0.61056,R,ugm-3,8.47575,R,ugm-3,9.41193,R,ugm-3,68.51903,R,ugm-3,5.660,R,ugm-3 (Ref.eq),1.59976,R,ugm-3
01-01-2023,02:00,10.625,R,ugm-3 (FIDAS),0.73267,R,ugm-3,7.78986,R,ugm-3,8.91328,R,ugm-3,71.24649,R,ugm-3,5.307,R,ugm-3 (Ref.eq),0.71100,R,ugm-3
01-01-2023,03:00,12.400,R,ugm-3 (FIDAS),0.64109,R,ugm-3,6.96417,R,ugm-3,7.94716,R,ugm-3,71.39617,R,ugm-3,6.132,R,ugm-3 (Ref.eq),0.39994,R,ugm-3
01-01-2023,04:00,14.100,R,ugm-3 (FIDAS),0.85479,R,ugm-3,6.21577,R,ugm-3,7.52642,R,ugm-3,73.69122,R,ugm-3,6.651,R,ugm-3 (Ref.eq),1.06651,R,ugm-3
01-01-2023,05:00,16.475,R,ugm-3 (FIDAS),0.79373,R,ugm-3,6.54313,R,ugm-3,7.76016,R,ugm-3,71.64563,R,ugm-3,7.500,R,ugm-3 (Ref.eq),1.19982,R,ugm-3
01-01-2023,06:00,16.950,R,ugm-3 (FIDAS),0.67162,R,ugm-3,6.73037,R,ugm-3,7.76016,R,ugm-3,71.69552,R,ugm-3,8.113,R,ugm-3 (Ref.eq),1.73307,R,ugm-3
01-01-2023,07:00,16.825,R,ugm-3 (FIDAS),0.76320,R,ugm-3,6.63669,R,ugm-3,7.80691,R,ugm-3,71.74542,R,ugm-3,8.137,R,ugm-3 (Ref.eq),1.66642,R,ugm-3
01-01-2023,08:00,19.725,R,ugm-3 (FIDAS),0.76320,R,ugm-3,7.05742,R,ugm-3,8.22764,R,ugm-3,69.55015,R,ugm-3,9.434,R,ugm-3 (Ref.eq),1.33313,R,ugm-3
01-01-2023,09:00,23.800,R,ugm-3 (FIDAS),0.79373,R,ugm-3,8.45980,R,ugm-3,9.67683,R,ugm-3,68.40262,R,ugm-3,10.660,R,ugm-3 (Ref.eq),1.33313,R,ugm-3
